대여소 그룹,팀명,대여소 명,대여 건수
노원구,도봉1팀,1635. 상계3.4동 주민센터 대여소,506
마포구,상암1팀,432. 마포중앙도서관,508
구로구,천왕1팀,2804.항동지구 6단지 602동 앞,511
도봉구,도봉3팀,1731. 도봉고등학교 맞은편,511
도봉구,도봉3팀,4064. 신창아파트 입구 앞,514
강남구,학여울1팀,2349. 역삼빌딩 앞(하나은행 옆),516
중구,세종로2팀,4762. 국제빌딩,516
강북구,도봉4팀,1538. 솔밭공원역,517
금천구,천왕3팀,1865.금천구청앞(M빌딩),517
금천구,천왕3팀,1853. 서울디자인직업전문학교 앞,518
광진구,중랑1팀,3503. 광진유진스웰,518
송파구,학여울2팀,4490. 송파파인타운 10단지 1005동,521
강동구,천호1팀,3659. 명일초등학교 옆,521
서초구,이수1팀,4329. SC제일은행 양재동지점 앞,524
강북구,도봉4팀,3703. 신성교회 앞,528
도봉구,도봉3팀,1768.신동아타워 버스정류소,528
중랑구,중랑3팀,4815. 중랑데시앙플렉스 앞,528
강북구,도봉4팀,1573.현대성우아파트 옆,529
도봉구,도봉3팀,1703. 도봉산광역환승센터앞,529
중랑구,중랑3팀,4829. 신내동 한살림 중랑지구 북축,529
동작구,이수2팀,2083.흑석롯데캐슬에듀포레(107동),530
송파구,천호2팀,4888. 둔촌오륜역 2번출구,530
구로구,천왕1팀,1971. 오정초교 앞 보도육교,530
강동구,천호1팀,1037. 강일리버파크 6단지,531
금천구,천왕3팀,1863.위너스 스포츠클럽 골프연습장옆,535
송파구,천호2팀,4461. 한양3차아파트 3동 앞,535
서초구,이수1팀,2516.본마을 노인복지센터 앞,536
중랑구,중랑3팀,1463.중랑구민회관,537
서초구,이수1팀,2258.구룡사 삼거리,537
용산구,세종로 4팀,4604. 원효로다목적체육관 앞,538
중구,세종로2팀,4761. 탐앤탐스 을지로3가점,539
용산구,세종로 4팀,827. 국군복지단,539
광진구,중랑1팀,3521. 현대홈타운 뒷길,539
양천구,천왕1팀,724. 계남공원 입구 주출입구 좌측,539
서초구,이수3팀,2520.서초1교 (진흥아파트 방면),542
송파구,학여울2팀,1290. 위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,542
강동구,천호1팀,1053. 동명근린공원 진입로 (아리수로),542
은평구,상암3팀,967. 서울혁신파크2,545
영등포구,영남3팀,4581. 국회소통관,545
용산구,세종로 4팀,830. 청암자이아파트앞,545
구로구,천왕1팀,1967. 참새공원(백곡경노당),546
서대문구,상암2팀,161. 무악재역1번 출구,546
강서구,개화1팀,1188. 롯데중앙연구소,547
관악구,이수2팀,3806. 낙성대 교수아파트,547
도봉구,도봉3팀,1757.솔밭공원역 1번출구 앞,548
송파구,천호2팀,4889. 마천역 1번 출구 인근②,548
마포구,상암1팀,489.구룡근린공원,549
